TIME ms, IN1, IN2
7.715, 0.012817, -4.278564
7.666, 0.012817, -3.592529
7.617, 0.013428, -2.468262
7.568, 0.012939, -1.109619
7.52, 0.012817, 0.351562
7.471, 0.013306, 1.772461
7.422, 0.012695, 3.027344
7.373, 0.012939, 3.990479
7.324, 0.013184, 4.573975
7.275, 0.012817, 4.72168
7.227, 0.013062, 4.417725
7.178, 0.012695, 3.69873
7.129, 0.012817, 2.619629
7.08, 0.012695, 1.296387
7.031, 0.012939, -0.155029
6.982, 0.012329, -1.595459
6.934, 0.012695, -2.886963
6.885, 0.013062, -3.907471
6.836, 0.012695, -4.560547
6.787, 0.012939, -4.788818
6.738, 0.012939, -4.561768
6.689, 0.012939, -3.908691
6.641, 0.012695, -2.888184
6.592, 0.012817, -1.59668
6.543, 0.012817, -0.15625
6.494, 0.012817, 1.293945
6.445, 0.012939, 2.41333
6.396, 0.012695, 3.537598
6.348, 0.013062, 4.324951
6.299, 0.012939, 4.699707
6.25, 0.013062, 4.630127
6.201, 0.012939, 4.11377
6.152, 0.012939, 3.212891
6.104, 0.013062, 1.998291
6.055, 0.012695, 0.595703
6.006, 0.012695, -0.86792
5.957, 0.013062, -2.253418
5.908, 0.012451, -3.426514
5.859, 0.012695, -4.278564
5.811, 0.012573, -4.727783
5.762, 0.012695, -4.735107
5.713, 0.012573, -4.293213
5.664, 0.012817, -3.452148
5.615, 0.012817, -2.282715
5.566, 0.012817, -0.904541
5.518, 0.012939, 0.559082
5.469, 0.012939, 1.964111
5.42, 0.012939, 3.183594
5.371, 0.012695, 4.095459
5.322, 0.012451, 4.622803
5.273, 0.012817, 4.703369
5.225, 0.012817, 4.433594
5.176, 0.012817, 3.719482
5.127, 0.012695, 2.651367
5.078, 0.012695, 1.330566
5.029, 0.012573, -0.12085
4.98, 0.012939, -1.5625
4.932, 0.012573, -2.858887
4.883, 0.012573, -3.886719
4.834, 0.012695, -4.553223
4.785, 0.012939, -4.787598
4.736, 0.012451, -4.571533
4.688, 0.012695, -3.928223
4.639, 0.012817, -2.913818
4.59, 0.012451, -1.629639
4.541, 0.012695, -0.19043
