TIME ms, IN1, IN2
4.785, 0.012695, 2.529297
4.736, 0.012695, 1.191406
4.688, 0.012817, -0.268555
4.639, 0.012817, -1.700439
4.59, 0.012695, -2.973633
4.541, 0.012695, -3.972168
4.492, 0.012451, -4.594727
4.443, 0.012695, -4.787598
4.395, 0.012817, -4.528809
4.346, 0.012695, -3.845215
4.297, 0.012573, -2.800293
4.248, 0.012817, -1.49292
4.199, 0.012939, -0.046387
4.15, 0.012939, 1.398926
4.102, 0.012695, 2.711182
4.053, 0.012817, 3.759766
4.004, 0.012817, 4.370117
3.955, 0.012817, 4.710693
3.906, 0.012573, 4.606934
3.857, 0.012695, 4.060059
3.809, 0.012817, 3.131104
3.76, 0.012573, 1.899414
3.711, 0.012207, 0.48584
3.662, 0.012817, -0.977783
3.613, 0.012695, -2.351074
3.564, 0.012573, -3.502197
3.516, 0.012695, -4.327393
3.467, 0.012451, -4.746094
3.418, 0.012939, -4.715576
3.369, 0.012817, -4.245605
3.32, 0.012695, -3.371582
3.271, 0.012573, -2.185059
3.223, 0.012451, -0.795898
3.174, 0.012939, 0.667725
3.125, 0.012451, 2.06543
3.076, 0.012573, 3.265381
3.027, 0.012817, 4.14917
2.979, 0.012329, 4.644775
2.93, 0.012817, 4.692383
2.881, 0.012817, 4.296875
2.832, 0.012695, 3.48999
2.783, 0.012451, 2.351074
2.734, 0.013062, 1.221924
2.686, 0.012939, -0.230713
2.637, 0.012451, -1.66626
2.588, 0.012573, -2.946777
2.539, 0.012939, -3.952637
2.49, 0.012451, -4.58252
2.441, 0.012451, -4.787598
2.393, 0.012817, -4.539795
2.344, 0.012573, -3.864746
2.295, 0.012695, -2.827148
2.246, 0.012695, -1.524658
2.197, 0.012817, -0.081787
2.148, 0.012573, 1.368408
2.1, 0.012451, 2.683105
2.051, 0.012695, 3.741455
2.002, 0.011963, 4.447021
1.953, 0.012695, 4.725342
1.904, 0.012695, 4.553223
1.855, 0.012817, 3.947754
1.807, 0.012573, 2.969971
1.758, 0.012573, 1.704102
1.709, 0.012329, 0.2771
1.66, 0.012451, -1.182861
1.611, 0.012451, -2.531738
1.563, 0.012695, -3.641357
1.514, 0.012695, -4.312744
1.465, 0.012207, -4.73877
1.416, 0.012451, -4.7229
1.367, 0.012207, -4.259033
1.318, 0.012329, -3.397217
1.27, 0.012451, -2.216797
1.221, 0.012329, -0.828857
1.172, 0.012329, 0.634766
1.123, 0.012329, 2.034912
1.074, 0.012573, 3.237305
1.025, 0.012817, 4.134521
976.563, 0.012573, 4.63501
927.734, 0.012329, 4.698486
878.906, 0.012573, 4.310303
830.078, 0.012451, 3.509521
781.25, 0.012695, 2.37915
732.422, 0.012207, 1.019287
683.594, 0.012695, -0.441895
634.766, 0.012695, -1.862793
585.938, 0.012695, -3.111572
537.109, 0.012817, -4.067383
488.281, 0.012695, -4.642334
439.453, 0.012817, -4.780273
390.625, 0.012573, -4.467773
341.797, 0.012817, -3.737793
292.969, 0.012207, -2.854004
244.141, 0.012573, -1.557617
195.313, 0.012695, -0.115967
146.484, 0.012939, 1.333008
97.656, 0.012817, 2.652588
48.828, 0.012451, 3.719482
