Model,DPO4054B
Firmware Version,3.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.00088
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.227e-02,0.08
-4.226e-02,0.1
-4.225e-02,0.12
-4.224e-02,0.12
-4.223e-02,0.1
-4.222e-02,0.12
-4.221e-02,0.12
-4.220e-02,0.1
-4.219e-02,0.14
-4.218e-02,0.12
-4.217e-02,0.1
-4.216e-02,0.12
-4.215e-02,0.14
-4.214e-02,0.12
-4.213e-02,0.12
-4.212e-02,0.12
-4.211e-02,0.12
-4.210e-02,0.12
-4.209e-02,0.12
-4.208e-02,0.12
-4.207e-02,0.14
-4.206e-02,0.12
-4.205e-02,0.12
-4.204e-02,0.1
-4.203e-02,0.1
-4.202e-02,0.12
-4.201e-02,0.1
-4.200e-02,0.12
-4.199e-02,0.12
-4.198e-02,0.12
-4.197e-02,0.12
-4.196e-02,0.1
-4.195e-02,0.12
-4.194e-02,0.12
-4.193e-02,0.12
-4.192e-02,0.12
-4.191e-02,0.12
-4.190e-02,0.12
-4.189e-02,0.12
-4.188e-02,0.12
-4.187e-02,0.12
-4.186e-02,0.12
-4.185e-02,0.12
-4.184e-02,0.12
-4.183e-02,0.12
-4.182e-02,0.12
-4.181e-02,0.12
-4.180e-02,0.12
-4.179e-02,0.1
-4.178e-02,0.1
-4.177e-02,0.12
-4.176e-02,0.12
-4.175e-02,0.12
-4.174e-02,0.12
-4.173e-02,0.12
-4.172e-02,0.12
-4.171e-02,0.12
-4.170e-02,0.12
-4.169e-02,0.12
-4.168e-02,0.14
-4.167e-02,0.1
-4.166e-02,0.1
-4.165e-02,0.12
-4.164e-02,0.14
-4.163e-02,0.12
-4.162e-02,0.12
-4.161e-02,0.12
-4.160e-02,0.12
-4.159e-02,0.12
-4.158e-02,0.12
-4.157e-02,0.12
-4.156e-02,0.12
-4.155e-02,0.14
-4.154e-02,0.12
-4.153e-02,0.12
-4.152e-02,0.12
-4.151e-02,0.12
-4.150e-02,0.12
-4.149e-02,0.14
-4.148e-02,0.14
-4.147e-02,0.12
-4.146e-02,0.12
-4.145e-02,0.12
-4.144e-02,0.12
-4.143e-02,0.14
-4.142e-02,0.12
-4.141e-02,0.12
-4.140e-02,0.12
-4.139e-02,0.12
-4.138e-02,0.12
-4.137e-02,0.1
-4.136e-02,0.12
-4.135e-02,0.12
-4.134e-02,0.12
-4.133e-02,0.12
-4.132e-02,0.12
-4.131e-02,0.12
-4.130e-02,0.12
-4.129e-02,0.1
-4.128e-02,0.12
-4.127e-02,0.12
-4.126e-02,0.12
-4.125e-02,0.1
-4.124e-02,0.12
-4.123e-02,0.12
-4.122e-02,0.1
-4.121e-02,0.14
-4.120e-02,0.12
-4.119e-02,0.12
-4.118e-02,0.12
-4.117e-02,0.12
-4.116e-02,0.12
-4.115e-02,0.12
-4.114e-02,0.12
-4.113e-02,0.12
-4.112e-02,0.12
-4.111e-02,0.12
-4.110e-02,0.12
-4.109e-02,0.12
-4.108e-02,0.12
-4.107e-02,0.12
-4.106e-02,0.12
-4.105e-02,0.12
-4.104e-02,0.12
-4.103e-02,0.1
-4.102e-02,0.12
-4.101e-02,0.12
-4.100e-02,0.14
-4.099e-02,0.12
-4.098e-02,0.1
-4.097e-02,0.1
-4.096e-02,0.1
-4.095e-02,0.12
-4.094e-02,0.12
-4.093e-02,0.12
-4.092e-02,0.12
-4.091e-02,0.12
-4.090e-02,0.12
-4.089e-02,0.12
-4.088e-02,0.1
-4.087e-02,0.1
-4.086e-02,0.12
-4.085e-02,0.1
-4.084e-02,0.1
-4.083e-02,0.12
-4.082e-02,0.12
-4.081e-02,0.08
-4.080e-02,0.12
-4.079e-02,0.12
-4.078e-02,0.12
-4.077e-02,0.12
-4.076e-02,0.14
-4.075e-02,0.1
-4.074e-02,0.12
-4.073e-02,0.12
-4.072e-02,0.1
-4.071e-02,0.14
-4.070e-02,0.1
-4.069e-02,0.12
-4.068e-02,0.1
-4.067e-02,0.12
-4.066e-02,0.1
-4.065e-02,0.12
-4.064e-02,0.12
-4.063e-02,0.1
-4.062e-02,0.1
-4.061e-02,0.12
-4.060e-02,0.1
-4.059e-02,0.12
-4.058e-02,0.12
